Scenario,IRDNumber,"Employee, Tax Code",Pay Period Start Date,Pay Period End Date,Payment Date,Freq.,Start Date,Finish Date,Gross Earnings,Gross Earnings non ACC,Lump sum,SLCIR,SLBOR,Child Support,KiwiSaver Employee,KiwiSaver Employer,Payroll Giving,ESCT Rate,Empty,PAYE,KiwiSaver Employee Deduction Amount,KiwiSaver Employer Deduction Amount,Child Support  Deduction Amount,Payroll Giving Tax Credit,Student Loan Deduction Amount,ESCT,Tax Year
1.1.1,048125360,"Paige Chen, M",25/03/2019,31/03/2019,03/04/2019,Weekly,,,578.78,0,,N,,20.99,0.03,0.03,23.81,0.175,,90.48,17.36,14.39,20.99,7.93,0,2.97,2020
1.1.1,048125379,"Sherri Melton, M SL",25/03/2019,31/03/2019,03/04/2019,Weekly,,,578.78,0,,N,,20.99,0.03,0.03,23.81,0.175,,90.48,17.36,14.39,20.99,7.93,23.76,2.97,2020
1.1.1,048125387,"Gretchen Hill, ME",25/03/2019,31/03/2019,03/04/2019,Weekly,,,578.78,0,,N,,20.99,0.03,0.03,23.81,0.175,,80.48,17.36,14.39,20.99,7.93,0,2.97,2020
1.1.1,048125395,"Karen Puckett, ME SL",25/03/2019,31/03/2019,03/04/2019,Weekly,,,578.78,0,,N,,20.99,0.03,0.03,23.81,0.175,,80.48,17.36,14.39,20.99,7.93,23.76,2.97,2020
1.1.1,048125409,"Patrick Song, SB SL",25/03/2019,31/03/2019,03/04/2019,Weekly,,,578.78,0,,N,,20.99,0.03,0.03,23.81,0.175,,68.72,17.36,14.39,20.99,7.93,69.36,2.97,2020
1.1.1,048125417,"Elsie Hamilton, S",25/03/2019,31/03/2019,03/04/2019,Weekly,,,578.78,0,,N,,20.99,0.03,0.03,23.81,0.175,,109.18,17.36,14.39,20.99,7.93,0,2.97,2020
1.1.1,048125425,"Hazel Bender, SB",25/03/2019,31/03/2019,03/04/2019,Weekly,,,578.78,0,,N,,20.99,0.03,0.03,23.81,0.175,,68.72,17.36,14.39,20.99,7.93,0,2.97,2020
1.1.1,048125433,"Malcolm Wagner, SH",25/03/2019,31/03/2019,03/04/2019,Weekly,,,578.78,0,,N,,20.99,0.03,0.03,23.81,0.175,,181.43,17.36,14.39,20.99,7.93,0,2.97,2020
1.1.1,048125441,"Dolores McLaughlin, ST",25/03/2019,31/03/2019,03/04/2019,Weekly,,,578.78,0,,N,,20.99,0.03,0.03,23.81,0.175,,198.77,17.36,14.39,20.99,7.93,0,2.97,2020
1.1.1,048125451,"Francis McNamara, S SL",25/03/2019,31/03/2019,03/04/2019,Weekly,,,578.78,0,,N,,20.99,0.03,0.03,23.81,0.175,,109.18,17.36,14.39,20.99,7.93,69.36,2.97,2020
1.1.1,048125468,"Sandy Raynor, SH SL",25/03/2019,31/03/2019,03/04/2019,Weekly,,,578.78,0,,N,,20.99,0.03,0.03,23.81,0.175,,181.43,17.36,14.39,20.99,7.93,69.36,2.97,2020
1.1.1,048125476,"Marion Moon, ST SL",25/03/2019,31/03/2019,03/04/2019,Weekly,,,578.78,0,,N,,20.99,0.03,0.03,23.81,0.175,,198.77,17.36,14.39,20.99,7.93,69.36,2.97,2020
1.1.1,048125484,"Beth Woodard, CAE",25/03/2019,31/03/2019,03/04/2019,Weekly,,,578.78,0,,N,,20.99,0.03,0.03,23.81,0.175,,109.18,17.36,14.39,20.99,7.93,0,2.97,2020
1.1.1,048125492,"Julia Desai, EDW",25/03/2019,31/03/2019,03/04/2019,Weekly,,,578.78,0,,N,,20.99,0.03,0.03,23.81,0.175,,109.18,17.36,14.39,20.99,7.93,0,2.97,2020
1.1.1,048125506,"Jerome Wallace, ND",25/03/2019,31/03/2019,03/04/2019,Weekly,,,578.78,0,,N,,20.99,0.03,0.03,23.81,0.175,,268.13,17.36,14.39,20.99,7.93,0,2.97,2020
1.1.1,048125514,"Neal Lawrence, NSW",25/03/2019,31/03/2019,03/04/2019,Weekly,,,578.78,0,,N,,20.99,0,0,23.81,0.175,,68.72,0,0,20.99,7.93,0,0,2020
1.1.2,048125360,"Paige Chen, M",1/04/2019,07/04/2019,10/04/2019,Weekly,,,578.78,0,,N,,20.99,0.03,0.03,23.81,0.175,,90.48,17.36,14.39,20.99,7.93,0,2.97,2020
1.1.2,048125379,"Sherri Melton, M SL",1/04/2019,07/04/2019,10/04/2019,Weekly,,,578.78,0,,N,,20.99,0.03,0.03,23.81,0.175,,90.48,17.36,14.39,20.99,7.93,23.76,2.97,2020
1.1.2,048125387,"Gretchen Hill, ME",1/04/2019,07/04/2019,10/04/2019,Weekly,,,578.78,0,,N,,20.99,0.03,0.03,23.81,0.175,,80.48,17.36,14.39,20.99,7.93,0,2.97,2020
1.1.2,048125395,"Karen Puckett, ME SL",1/04/2019,07/04/2019,10/04/2019,Weekly,,,578.78,0,,N,,20.99,0.03,0.03,23.81,0.175,,80.48,17.36,14.39,20.99,7.93,23.76,2.97,2020
1.1.2,048125409,"Patrick Song, SB SL",1/04/2019,07/04/2019,10/04/2019,Weekly,,,578.78,0,,N,,20.99,0.03,0.03,23.81,0.175,,68.72,17.36,14.39,20.99,7.93,69.36,2.97,2020
1.1.2,048125417,"Elsie Hamilton, S",1/04/2019,07/04/2019,10/04/2019,Weekly,,,578.78,0,,N,,20.99,0.03,0.03,23.81,0.175,,109.18,17.36,14.39,20.99,7.93,0,2.97,2020
1.1.2,048125425,"Hazel Bender, SB",1/04/2019,07/04/2019,10/04/2019,Weekly,,,578.78,0,,N,,20.99,0.03,0.03,23.81,0.175,,68.72,17.36,14.39,20.99,7.93,0,2.97,2020
1.1.2,048125433,"Malcolm Wagner, SH",1/04/2019,07/04/2019,10/04/2019,Weekly,,,578.78,0,,N,,20.99,0.03,0.03,23.81,0.175,,181.43,17.36,14.39,20.99,7.93,0,2.97,2020
1.1.2,048125441,"Dolores McLaughlin, ST",1/04/2019,07/04/2019,10/04/2019,Weekly,,,578.78,0,,N,,20.99,0.03,0.03,23.81,0.175,,198.77,17.36,14.39,20.99,7.93,0,2.97,2020
1.1.2,048125451,"Francis McNamara, S SL",1/04/2019,07/04/2019,10/04/2019,Weekly,,,578.78,0,,N,,20.99,0.03,0.03,23.81,0.175,,109.18,17.36,14.39,20.99,7.93,69.36,2.97,2020
1.1.2,048125468,"Sandy Raynor, SH SL",1/04/2019,07/04/2019,10/04/2019,Weekly,,,578.78,0,,N,,20.99,0.03,0.03,23.81,0.175,,181.43,17.36,14.39,20.99,7.93,69.36,2.97,2020
1.1.2,048125476,"Marion Moon, ST SL",1/04/2019,07/04/2019,10/04/2019,Weekly,,,578.78,0,,N,,20.99,0.03,0.03,23.81,0.175,,198.77,17.36,14.39,20.99,7.93,69.36,2.97,2020
1.1.2,048125484,"Beth Woodard, CAE",1/04/2019,07/04/2019,10/04/2019,Weekly,,,578.78,0,,N,,20.99,0.03,0.03,23.81,0.175,,109.18,17.36,14.39,20.99,7.93,0,2.97,2020
1.1.2,048125492,"Julia Desai, EDW",1/04/2019,07/04/2019,10/04/2019,Weekly,,,578.78,0,,N,,20.99,0.03,0.03,23.81,0.175,,109.18,17.36,14.39,20.99,7.93,0,2.97,2020
1.1.2,048125506,"Jerome Wallace, ND",1/04/2019,07/04/2019,10/04/2019,Weekly,,,578.78,0,,N,,20.99,0.03,0.03,23.81,0.175,,268.13,17.36,14.39,20.99,7.93,0,2.97,2020
1.1.2,048125514,"Neal Lawrence, NSW",1/04/2019,07/04/2019,10/04/2019,Weekly,,,578.78,0,,N,,20.99,0,0,23.81,0.175,,68.72,0,0,20.99,7.93,0,0,2020
1.1.3,048125360,"Paige Chen, M",8/04/2019,14/04/2019,17/04/2019,Weekly,,,578.78,0,,N,,20.99,0.03,0.03,23.81,0.175,,90.48,17.36,14.39,20.99,7.93,0,2.97,2020
1.1.3,048125379,"Sherri Melton, M SL",8/04/2019,14/04/2019,17/04/2019,Weekly,,,578.78,0,,N,,20.99,0.03,0.03,23.81,0.175,,90.48,17.36,14.39,20.99,7.93,23.76,2.97,2020
1.1.3,048125387,"Gretchen Hill, ME",8/04/2019,14/04/2019,17/04/2019,Weekly,,,578.78,0,,N,,20.99,0.03,0.03,23.81,0.175,,80.48,17.36,14.39,20.99,7.93,0,2.97,2020
1.1.3,048125395,"Karen Puckett, ME SL",8/04/2019,14/04/2019,17/04/2019,Weekly,,,578.78,0,,N,,20.99,0.03,0.03,23.81,0.175,,80.48,17.36,14.39,20.99,7.93,23.76,2.97,2020
1.1.3,048125409,"Patrick Song, SB SL",8/04/2019,14/04/2019,17/04/2019,Weekly,,,578.78,0,,N,,20.99,0.03,0.03,23.81,0.175,,68.72,17.36,14.39,20.99,7.93,69.36,2.97,2020
1.1.3,048125417,"Elsie Hamilton, S",8/04/2019,14/04/2019,17/04/2019,Weekly,,,578.78,0,,N,,20.99,0.03,0.03,23.81,0.175,,109.18,17.36,14.39,20.99,7.93,0,2.97,2020
1.1.3,048125425,"Hazel Bender, SB",8/04/2019,14/04/2019,17/04/2019,Weekly,,,578.78,0,,N,,20.99,0.03,0.03,23.81,0.175,,68.72,17.36,14.39,20.99,7.93,0,2.97,2020
1.1.3,048125433,"Malcolm Wagner, SH",8/04/2019,14/04/2019,17/04/2019,Weekly,,,578.78,0,,N,,20.99,0.03,0.03,23.81,0.175,,181.43,17.36,14.39,20.99,7.93,0,2.97,2020
1.1.3,048125441,"Dolores McLaughlin, ST",8/04/2019,14/04/2019,17/04/2019,Weekly,,,578.78,0,,N,,20.99,0.03,0.03,23.81,0.175,,198.77,17.36,14.39,20.99,7.93,0,2.97,2020
1.1.3,048125451,"Francis McNamara, S SL",8/04/2019,14/04/2019,17/04/2019,Weekly,,,578.78,0,,N,,20.99,0.03,0.03,23.81,0.175,,109.18,17.36,14.39,20.99,7.93,69.36,2.97,2020
1.1.3,048125468,"Sandy Raynor, SH SL",8/04/2019,14/04/2019,17/04/2019,Weekly,,,578.78,0,,N,,20.99,0.03,0.03,23.81,0.175,,181.43,17.36,14.39,20.99,7.93,69.36,2.97,2020
1.1.3,048125476,"Marion Moon, ST SL",8/04/2019,14/04/2019,17/04/2019,Weekly,,,578.78,0,,N,,20.99,0.03,0.03,23.81,0.175,,198.77,17.36,14.39,20.99,7.93,69.36,2.97,2020
1.1.3,048125484,"Beth Woodard, CAE",8/04/2019,14/04/2019,17/04/2019,Weekly,,,578.78,0,,N,,20.99,0.03,0.03,23.81,0.175,,109.18,17.36,14.39,20.99,7.93,0,2.97,2020
1.1.3,048125492,"Julia Desai, EDW",8/04/2019,14/04/2019,17/04/2019,Weekly,,,578.78,0,,N,,20.99,0.03,0.03,23.81,0.175,,109.18,17.36,14.39,20.99,7.93,0,2.97,2020
1.1.3,048125506,"Jerome Wallace, ND",8/04/2019,14/04/2019,17/04/2019,Weekly,,,578.78,0,,N,,20.99,0.03,0.03,23.81,0.175,,268.13,17.36,14.39,20.99,7.93,0,2.97,2020
1.1.3,048125514,"Neal Lawrence, NSW",8/04/2019,14/04/2019,17/04/2019,Weekly,,,578.78,0,,N,,20.99,0,0,23.81,0.175,,68.72,0,0,20.99,7.93,0,0,2020
1.1.4,048125360,"Paige Chen, M",15/04/2019,21/04/2019,24/04/2019,Weekly,,,578.78,0,,N,,20.99,0.03,0.03,23.81,0.175,,90.48,17.36,14.39,20.99,7.93,0,2.97,2020
1.1.4,048125379,"Sherri Melton, M SL",15/04/2019,21/04/2019,24/04/2019,Weekly,,,578.78,0,,N,,20.99,0.03,0.03,23.81,0.175,,90.48,17.36,14.39,20.99,7.93,23.76,2.97,2020
1.1.4,048125387,"Gretchen Hill, ME",15/04/2019,21/04/2019,24/04/2019,Weekly,,,578.78,0,,N,,20.99,0.03,0.03,23.81,0.175,,80.48,17.36,14.39,20.99,7.93,0,2.97,2020
1.1.4,048125395,"Karen Puckett, ME SL",15/04/2019,21/04/2019,24/04/2019,Weekly,,,578.78,0,,N,,20.99,0.03,0.03,23.81,0.175,,80.48,17.36,14.39,20.99,7.93,23.76,2.97,2020
1.1.4,048125409,"Patrick Song, SB SL",15/04/2019,21/04/2019,24/04/2019,Weekly,,,578.78,0,,N,,20.99,0.03,0.03,23.81,0.175,,68.72,17.36,14.39,20.99,7.93,69.36,2.97,2020
1.1.4,048125417,"Elsie Hamilton, S",15/04/2019,21/04/2019,24/04/2019,Weekly,,,578.78,0,,N,,20.99,0.03,0.03,23.81,0.175,,109.18,17.36,14.39,20.99,7.93,0,2.97,2020
1.1.4,048125425,"Hazel Bender, SB",15/04/2019,21/04/2019,24/04/2019,Weekly,,,578.78,0,,N,,20.99,0.03,0.03,23.81,0.175,,68.72,17.36,14.39,20.99,7.93,0,2.97,2020
1.1.4,048125433,"Malcolm Wagner, SH",15/04/2019,21/04/2019,24/04/2019,Weekly,,,578.78,0,,N,,20.99,0.03,0.03,23.81,0.175,,181.43,17.36,14.39,20.99,7.93,0,2.97,2020
1.1.4,048125441,"Dolores McLaughlin, ST",15/04/2019,21/04/2019,24/04/2019,Weekly,,,578.78,0,,N,,20.99,0.03,0.03,23.81,0.175,,198.77,17.36,14.39,20.99,7.93,0,2.97,2020
1.1.4,048125451,"Francis McNamara, S SL",15/04/2019,21/04/2019,24/04/2019,Weekly,,,578.78,0,,N,,20.99,0.03,0.03,23.81,0.175,,109.18,17.36,14.39,20.99,7.93,69.36,2.97,2020
1.1.4,048125468,"Sandy Raynor, SH SL",15/04/2019,21/04/2019,24/04/2019,Weekly,,,578.78,0,,N,,20.99,0.03,0.03,23.81,0.175,,181.43,17.36,14.39,20.99,7.93,69.36,2.97,2020
1.1.4,048125476,"Marion Moon, ST SL",15/04/2019,21/04/2019,24/04/2019,Weekly,,,578.78,0,,N,,20.99,0.03,0.03,23.81,0.175,,198.77,17.36,14.39,20.99,7.93,69.36,2.97,2020
